approxim,"('FR940104-0-00003', 2)"
140,"('FR940104-0-00003', 1)"
handler,"('FR940104-0-00003', 13)"
navel,"('FR940104-0-00003', 4)"
orang,"('FR940104-0-00003', 24)"
125,"('FR940104-0-00003', 1)"
valencia,"('FR940104-0-00003', 4)"
subject,"('FR940104-0-00003', 3)"
regul,"('FR940104-0-00003', 13)"
respect,"('FR940104-0-00003', 1)"
market,"('FR940104-0-00003', 6)"
order,"('FR940104-0-00003', 17)"
3750,"('FR940104-0-00003', 1)"
produc,"('FR940104-0-00003', 4)"
3700,"('FR940104-0-00003', 1)"
area,"('FR940104-0-00003', 1)"
addit,"('FR940104-0-00003', 4)"
35,"('FR940104-0-00003', 1)"
product,"('FR940104-0-00003', 17)"
manufactur,"('FR940104-0-00003', 10)"
affect,"('FR940104-0-00003', 1)"
rule,"('FR940104-0-00003', 12)"
small,"('FR940104-0-00003', 4)"
agricultur,"('FR940104-0-00003', 2)"
servic,"('FR940104-0-00003', 1)"
firm,"('FR940104-0-00003', 1)"
includ,"('FR940104-0-00003', 4)"
defin,"('FR940104-0-00003', 2)"
busi,"('FR940104-0-00003', 1)"
administr,"('FR940104-0-00003', 1)"
13,"('FR940104-0-00003', 1)"
cfr,"('FR940104-0-00003', 1)"
121601,"('FR940104-0-00003', 1)"
annual,"('FR940104-0-00003', 2)"
receipt,"('FR940104-0-00003', 2)"
3500000,"('FR940104-0-00003', 1)"
500000,"('FR940104-0-00003', 1)"
major,"('FR940104-0-00003', 1)"
processor,"('FR940104-0-00003', 4)"
california,"('FR940104-0-00003', 2)"
arizona,"('FR940104-0-00003', 2)"
classifi,"('FR940104-0-00003', 1)"
entiti,"('FR940104-0-00003', 1)"
action,"('FR940104-0-00003', 1)"
final,"('FR940104-0-00003', 4)"
report,"('FR940104-0-00003', 11)"
requir,"('FR940104-0-00003', 12)"
prescrib,"('FR940104-0-00003', 2)"
modifi,"('FR940104-0-00003', 2)"
languag,"('FR940104-0-00003', 1)"
discontinu,"('FR940104-0-00003', 2)"
