inform,"('FR940104-0-00004', 3)"
collect,"('FR940104-0-00004', 1)"
requir,"('FR940104-0-00004', 2)"
contain,"('FR940104-0-00004', 1)"
referenc,"('FR940104-0-00004', 1)"
section,"('FR940104-0-00004', 1)"
previous,"('FR940104-0-00004', 1)"
approv,"('FR940104-0-00004', 1)"
offic,"('FR940104-0-00004', 1)"
manag,"('FR940104-0-00004', 1)"
budget,"('FR940104-0-00004', 1)"
omb,"('FR940104-0-00004', 2)"
provis,"('FR940104-0-00004', 1)"
44,"('FR940104-0-00004', 1)"
usc,"('FR940104-0-00004', 1)"
chapter,"('FR940104-0-00004', 1)"
35,"('FR940104-0-00004', 1)"
assign,"('FR940104-0-00004', 1)"
number,"('FR940104-0-00004', 2)"
0581,"('FR940104-0-00004', 2)"
0116,"('FR940104-0-00004', 1)"
navel,"('FR940104-0-00004', 2)"
orang,"('FR940104-0-00004', 6)"
0121,"('FR940104-0-00004', 1)"
valencia,"('FR940104-0-00004', 2)"
rule,"('FR940104-0-00004', 7)"
reduc,"('FR940104-0-00004', 2)"
report,"('FR940104-0-00004', 6)"
burden,"('FR940104-0-00004', 2)"
approxim,"('FR940104-0-00004', 3)"
25,"('FR940104-0-00004', 1)"
processor,"('FR940104-0-00004', 1)"
complet,"('FR940104-0-00004', 4)"
form,"('FR940104-0-00004', 2)"
38,"('FR940104-0-00004', 1)"
take,"('FR940104-0-00004', 3)"
033,"('FR940104-0-00004', 1)"
hour,"('FR940104-0-00004', 3)"
210,"('FR940104-0-00004', 1)"
handler,"('FR940104-0-00004', 2)"
ship,"('FR940104-0-00004', 2)"
primarili,"('FR940104-0-00004', 1)"
truck,"('FR940104-0-00004', 1)"
040,"('FR940104-0-00004', 1)"
80,"('FR940104-0-00004', 1)"
rail,"('FR940104-0-00004', 1)"
point,"('FR940104-0-00004', 1)"
season,"('FR940104-0-00004', 1)"
continu,"('FR940104-0-00004', 2)"
3,"('FR940104-0-00004', 3)"
020,"('FR940104-0-00004', 1)"
base,"('FR940104-0-00004', 1)"
consider,"('FR940104-0-00004', 2)"
administr,"('FR940104-0-00004', 1)"
am,"('FR940104-0-00004', 1)"
determin,"('FR940104-0-00004', 1)"
action,"('FR940104-0-00004', 1)"
signific,"('FR940104-0-00004', 1)"
econom,"('FR940104-0-00004', 1)"
impact,"('FR940104-0-00004', 1)"
substanti,"('FR940104-0-00004', 1)"
small,"('FR940104-0-00004', 1)"
entiti,"('FR940104-0-00004', 1)"
relev,"('FR940104-0-00004', 1)"
materi,"('FR940104-0-00004', 1)"
present,"('FR940104-0-00004', 1)"
recommend,"('FR940104-0-00004', 1)"
submit,"('FR940104-0-00004', 1)"
committe,"('FR940104-0-00004', 1)"
found,"('FR940104-0-00004', 1)"
final,"('FR940104-0-00004', 6)"
interim,"('FR940104-0-00004', 3)"
chang,"('FR940104-0-00004', 3)"
publish,"('FR940104-0-00004', 3)"
feder,"('FR940104-0-00004', 1)"
regist,"('FR940104-0-00004', 1)"
list,"('FR940104-0-00004', 1)"
subject,"('FR940104-0-00004', 1)"
7,"('FR940104-0-00004', 5)"
cfr,"('FR940104-0-00004', 5)"
part,"('FR940104-0-00004', 9)"
907,"('FR940104-0-00004', 4)"
908,"('FR940104-0-00004', 4)"
market,"('FR940104-0-00004', 1)"
agreement,"('FR940104-0-00004', 1)"
recordkeep,"('FR940104-0-00004', 1)"
reason,"('FR940104-0-00004', 1)"
set,"('FR940104-0-00004', 1)"
preambl,"('FR940104-0-00004', 1)"
amend,"('FR940104-0-00004', 3)"
1,"('FR940104-0-00004', 2)"
author,"('FR940104-0-00004', 2)"
citat,"('FR940104-0-00004', 1)"
read,"('FR940104-0-00004', 1)"
907_navel,"('FR940104-0-00004', 1)"
grown,"('FR940104-0-00004', 2)"
arizona,"('FR940104-0-00004', 2)"
design,"('FR940104-0-00004', 2)"
california,"('FR940104-0-00004', 2)"
2,"('FR940104-0-00004', 1)"
58,"('FR940104-0-00004', 2)"
fr,"('FR940104-0-00004', 3)"
53112,"('FR940104-0-00004', 2)"
octob,"('FR940104-0-00004', 2)"
14,"('FR940104-0-00004', 2)"
1993,"('FR940104-0-00004', 3)"
adopt,"('FR940104-0-00004', 2)"
908_valencia,"('FR940104-0-00004', 1)"
date,"('FR940104-0-00004', 1)"
decemb,"('FR940104-0-00004', 1)"
27,"('FR940104-0-00004', 1)"
signer,"('FR940104-0-00004', 2)"
robert,"('FR940104-0-00004', 1)"
keeney,"('FR940104-0-00004', 1)"
signjob,"('FR940104-0-00004', 2)"
deputi,"('FR940104-0-00004', 1)"
director,"('FR940104-0-00004', 1)"
fruit,"('FR940104-0-00004', 1)"
veget,"('FR940104-0-00004', 1)"
divis,"('FR940104-0-00004', 1)"
frfile,"('FR940104-0-00004', 2)"
doc,"('FR940104-0-00004', 1)"
94,"('FR940104-0-00004', 2)"
55,"('FR940104-0-00004', 1)"
file,"('FR940104-0-00004', 1)"
8,"('FR940104-0-00004', 1)"
45,"('FR940104-0-00004', 1)"
bill,"('FR940104-0-00004', 3)"
code,"('FR940104-0-00004', 1)"
3410,"('FR940104-0-00004', 1)"
02,"('FR940104-0-00004', 1)"
